phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
F382,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
φRSM3,no,none (filamentous),Inoviridae,Ralstonia solanacearum,305,Ralstonia solanacearum,Gram negative,pili,type IV pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Askora et al. 2009,10.1016/j.virol.2008.11.007, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139480.1,NZ_CP139480.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Ralstonia solanacearum,"Ralstonia solanacearum strain AHR56 chromosome, complete genome",,resolved,"Host recognition and integration of filamentous phage ϕRSM in the phytopathogen, Ralstonia solanacearum",corroborated,5 independent record(s) link φRSM3 to pili,high,medium,none
φSM,yes,long non-contractile,Siphoviridae,Citrobacter rodentium,67825,Citrobacter rodentium,Gram negative,cell wall,LPS GlcIII residue,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Magaziner et al. 2019,10.1128/JB.00638-18, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP038008.1,NZ_CP038008.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Citrobacter rodentium,"Citrobacter rodentium strain DBS100 chromosome, complete genome",,,,,,high,medium,none
TP901-1erm,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides subtype C2,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Ainsworth et al. 2014,10.1128/mBio.00880-14, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,,,,,none,medium,none
SPN14,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene BtuB,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella typhimurium vitamin B12 transport protein (btuB) gene, complete cds",,,,,,high,high,none
KVP40,yes,contractile,Myoviridae,Vibrio sp.,678,Vibrio sp.,Gram negative,cell wall,Protein OmpK,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Inuoe et al. 1995,10.1111/j.1574-6968.1995.tb07342.x, ,Yes,no,,,none,,yes,https://www.uniprot.org/uniprotkb/Q6WHK5,Q6WHK5,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,no GenBank record found for receptor or host genome,,,,,Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991),,,,,high,none,high
fPS-50,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
T2,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein Ia (OmpF) with LPS and the outer membrane protein FadL (involved in the uptake of long-chain fatty acids),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hantke 1978; Morona and Henning 1986; Black 1988 ,"10.1128/jb.135.1.190-197.1978 (Hantke and Braun 1978), 10.1128/jb.159.2.579-582.1984 (Morona and Henning), 10.1128/jb.170.6.2850-2854.1988 (Black)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ465827.1,GQ465827.1,specific gene,OmpF,yes,https://www.uniprot.org/uniprotkb/P07067,P07067,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene OmpF,name collision resolved by host; other candidates: Tequatrovirus T2,,Escherichia coli,"Escherichia coli strain EC-454/03 outer membrane protein F (ompF) gene, complete cds",Enterobacteria phage T2,resolved,Functional Interaction of the tonA/tonB Receptor System in Escherichia coli,corroborated,194 independent record(s) link T2 to OmpF,low,high,high
936,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q71AV7,Q71AV7,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,"name collision resolved by host; other candidates: Lactococcus phage 936 group phage Phi109, Lactococcus phage 936 group phage Phi155, Lactococcus phage 936 group phage Phi19.3, Lactococcus phage 936 group phage Phi4.2, Lactococcus phage 936 group phage Phi44, Lactococcus phage 936 group phage Phi5.12, Lactococcus phage 936 group phage Phi91127, Lactococcus phage 936 group phage PhiA.16, Lactococcus phage 936 group phage PhiB1127, Lactococcus phage 936 group phage PhiE1127, Lactococcus phage 936 group phage PhiF0139, Lactococcus phage 936 group phage PhiJF1, Lactococcus phage 936 group phage PhiL.18, Lactococcus phage 936 group phage PhiL.6, Lactococcus phage 936 group phage PhiLj, Lactococcus phage 936 group phage PhiM1127, Lactococcus phage 936 group phage PhiS0139",,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus phage 936,,,,,none,medium,high
F370,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
Vi Phage VI,yes,short,Podoviridae,Salmonella enterica serovar Typhi,90370,Salmonella enterica subsp. enterica serovar Typhi,Gram negative,cell wall,Vi exopolysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Pickard et al. 2010,10.1128/JB.00659-10, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_LR590081.1,NZ_LR590081.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Salmonella enterica subsp. enterica serovar Typhi str. Ty2 strain 4316STDY6559669 chromosome 1,,,,,,high,medium,none
Thanatos-1,yes,contractile,Myoviridae,Shewanella oneidensis,70863,Shewanella oneidensis,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Kreienbaum et al. 2020,10.3389/fmicb.2020.573260, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP053946.1,NZ_CP053946.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Shewanella oneidensis MR-1,Shewanella oneidensis MR-1 chromosome,,,,,,high,medium,none
φAcM4,yes,long non-contractile,Siphoviridae,Asticcacaulis biprosthecium,76891,Asticcacaulis biprosthecium,Gram negative,flagella,flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Pate et al. 1979,10.1016/0042-6822(79)90435-5, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,no GenBank record found for receptor or host genome,phage not found in UniProt,,,,,,,,,high,none,none
SP10,yes,contractile,Herelleviridae,Bacillus subtilis,1423,Bacillus subtilis,Gram positive,cell wall,glucosylation of polyglycerol  teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Young 1967,10.1073/pnas.58.6.2377, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP160208.1,NZ_CP160208.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Bacillus subtilis,"Bacillus subtilis strain LTH 7164 chromosome, complete genome",,,,,,high,medium,none
SPN12C,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene BtuB,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella typhimurium vitamin B12 transport protein (btuB) gene, complete cds",,,,,,high,high,none
φeiAU,yes,long non-contractile,Siphoviridae,Edwardsiella ictaluri,67780,Edwardsiella ictaluri,Gram negative,cell wall,OmpLC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hossain et al. 2012,10.1099/mic.0.054866-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP180729.1,NZ_CP180729.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/W0LM01,W0LM01,specific RBP,Host specificity protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Edwardsiella ictaluri,"Edwardsiella ictaluri strain HCF-1 chromosome, complete genome",Edwardsiella phage eiAU,,,,,high,medium,high
fd,no,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pilus, periplasm","F pilus as primary receptor, TolA (C-terminal domain) coreceptor for infection",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Riechmann and Holliger 1997,10.1016/s0092-8674(00)80342-6, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,yes,https://www.uniprot.org/uniprotkb/P03661,P03661,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,"multi-domain resolved by cue; also present: Membrane Proteins, Pili",specific receptor gene TolA,,,Escherichia coli,"E.coli tolerance to colicins (tolA and tolB) genes, complete cds",Enterobacteria phage fd,,,,,medium,high,high
VP3,yes,short,Podoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,"core oligosaccharides of LPS, outer membrane protein TolC",LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,"Zhang et al. 2009, Fan et al. 2018","10.1128/JB.01370-08 (Zhang et al 2009), 10.1074/jbc.M117.805689 (Fan et al 2018)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/AF282892.1,AF282892.1,specific gene,TolC,yes,https://www.uniprot.org/uniprotkb/B8XCQ2,B8XCQ2,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene TolC,,,Vibrio cholerae,"Vibrio cholerae outer membrane protein TolC gene, complete cds",Vibrio phage VP3,resolved,"The Core Oligosaccharide and Thioredoxin of
            <i>Vibrio cholerae</i>
            Are Necessary for Binding and Propagation of Its Typing Phage VP3",corroborated,15 independent record(s) link VP3 to TolC,low,high,high
SPN8T,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FliC,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain SJW23 flagellin type 1 (fliC) gene, complete cds",,,,,,high,high,none
APK48,yes,short,Autographiviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2021,10.1128/JVI.01714-20, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",,,,,,high,medium,none
T7 Yp,yes,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,HepI/Glc residues of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: gene(s) HepI not found,phage not found in UniProt,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",,,,,,high,medium,none
F358,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
φeiDWF,yes,long non-contractile,Siphoviridae,Edwardsiella ictaluri,67780,Edwardsiella ictaluri,Gram negative,cell wall,OmpLC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hossain et al. 2012,10.1099/mic.0.054866-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP180729.1,NZ_CP180729.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Edwardsiella ictaluri,"Edwardsiella ictaluri strain HCF-1 chromosome, complete genome",,,,,,high,medium,none
F389,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
Prado,yes,short,Podoviridae,Xylella fastidiosa,2371,Xylella fastidiosa,Gram negative,pili,PilA,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Ahern et al. 2014,10.1128/JB.01080-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/MN590488.1,MN590488.1,specific gene,PilA,yes,https://www.uniprot.org/uniprotkb/V5Q7S0,V5Q7S0,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene PilA,,,Xylella fastidiosa,"Xylella fastidiosa strain PierceMed1 pilin (pilA) gene, partial cds",Xylella phage Prado,,,,,high,high,high
φR1-37,yes,contractile,Myoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,outer core hexasaccharide of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Kiljunen et al. 2005,10.1099/mic.0.28265-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
φNJS1,yes,long non-contractile,Siphoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,"O antigen of LPS (reversible binding), FepA (irreversible binding)",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hao et al. 2021,10.1016/j.micpath.2021.104897, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/AJ292298.1,AJ292298.1,specific gene,FepA,yes,https://www.uniprot.org/uniprotkb/A0A345ARD4,A0A345ARD4,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,"multi-domain resolved by cue; also present: LPS, Membrane Proteins",specific receptor gene FepA,,,Klebsiella pneumoniae CG43,Klebsiella pneumoniae partial fepA gene for ferrienterobactin receptor,Klebsiella phage NJS1,,,,,medium,high,high
S108,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
SA97,yes,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Chang et al. 2015,10.3390/v7102870, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A0F6N3G7,A0A0F6N3G7,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",Staphylococcus phage SA97,,,,,high,medium,high
Gifsy-1,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Ho and Slauch 2001,10.1128/JB.183.4.1495–1498.2001, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/KY421795.1,KY421795.1,specific gene,OmpC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpC,phage present in UniProt but no tail/RBP protein annotated,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain E-2375 outer membrane protein C (ompC) gene, complete cds",,,,,,high,high,none
SSU5,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,outer core oligosaccharides of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Kim et al. 2014,10.1128/AEM.03494-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
DLP2,yes,long non-contractile,Siphoviridae,Stenotrophomonas maltophilia,40324,Stenotrophomonas maltophilia,Gram negative,pilus,type IV pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,McCutcheon et al. 2018,10.3390/v10060338, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP031058.1,NZ_CP031058.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Stenotrophomonas maltophilia,"Stenotrophomonas maltophilia strain SM 866 chromosome, complete genome",,,,,,high,medium,none
TuII*,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein II* (OmpA) with LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Datta et al. 1977,10.1128/jb.131.3.821-829.1977, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene OmpA,phage not found in UniProt,,Escherichia coli,"Escherichia coli strain SYW048 outer membrane protein A (ompA) gene, ompA-2 allele, partial cds",,resolved,Major proteins of the Escherichia coli outer cell envelope membrane as bacteriophage receptors,corroborated,40 independent record(s) link TuII* to OmpA,low,high,none
U3,no,"none (icosahedral, ssDNA)",Microviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Terminal galactose residue in LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Picken and Beacham 1977,10.1099/00221287-102-2-305, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
