phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
SPN14,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
KVP40,True,contractile,Myoviridae,Vibrio sp.,678,Vibrio sp.,Gram negative,cell wall,Protein OmpK,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Inuoe et al. 1995,10.1111/j.1574-6968.1995.tb07342.x, ,True,False,,,none,,True,https://www.uniprot.org/uniprotkb/Q6WHK5,Q6WHK5,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,none,high
fPS-50,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
T2,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein Ia (OmpF) with LPS and the outer membrane protein FadL (involved in the uptake of long-chain fatty acids),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hantke 1978; Morona and Henning 1986; Black 1988 ,"10.1128/jb.135.1.190-197.1978 (Hantke and Braun 1978), 10.1128/jb.159.2.579-582.1984 (Morona and Henning), 10.1128/jb.170.6.2850-2854.1988 (Black)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/GQ465827.1,GQ465827.1,specific gene,OmpF,True,https://www.uniprot.org/uniprotkb/P07067,P07067,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
936,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q71AV7,Q71AV7,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
F370,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Vi Phage VI,True,short,Podoviridae,Salmonella enterica serovar Typhi,90370,Salmonella enterica subsp. enterica serovar Typhi,Gram negative,cell wall,Vi exopolysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Pickard et al. 2010,10.1128/JB.00659-10, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_LR590081.1,NZ_LR590081.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Thanatos-1,True,contractile,Myoviridae,Shewanella oneidensis,70863,Shewanella oneidensis,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Kreienbaum et al. 2020,10.3389/fmicb.2020.573260, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP053946.1,NZ_CP053946.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φAcM4,True,long non-contractile,Siphoviridae,Asticcacaulis biprosthecium,76891,Asticcacaulis biprosthecium,Gram negative,flagella,flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Pate et al. 1979,10.1016/0042-6822(79)90435-5, ,True,False,,,none,,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,none,none
SP10,True,contractile,Herelleviridae,Bacillus subtilis,1423,Bacillus subtilis,Gram positive,cell wall,glucosylation of polyglycerol  teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Young 1967,10.1073/pnas.58.6.2377, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP160208.1,NZ_CP160208.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SPN12C,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
φeiAU,True,long non-contractile,Siphoviridae,Edwardsiella ictaluri,67780,Edwardsiella ictaluri,Gram negative,cell wall,OmpLC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hossain et al. 2012,10.1099/mic.0.054866-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP180729.1,NZ_CP180729.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/W0LM01,W0LM01,specific RBP,Host specificity protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
fd,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pilus, periplasm","F pilus as primary receptor, TolA (C-terminal domain) coreceptor for infection",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Riechmann and Holliger 1997,10.1016/s0092-8674(00)80342-6, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,True,https://www.uniprot.org/uniprotkb/P03661,P03661,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,high,high
VP3,True,short,Podoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,"core oligosaccharides of LPS, outer membrane protein TolC",LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,"Zhang et al. 2009, Fan et al. 2018","10.1128/JB.01370-08 (Zhang et al 2009), 10.1074/jbc.M117.805689 (Fan et al 2018)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/AF282892.1,AF282892.1,specific gene,TolC,True,https://www.uniprot.org/uniprotkb/B8XCQ2,B8XCQ2,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
SPN8T,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
APK48,True,short,Autographiviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2021,10.1128/JVI.01714-20, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
T7 Yp,True,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,HepI/Glc residues of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F358,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φeiDWF,True,long non-contractile,Siphoviridae,Edwardsiella ictaluri,67780,Edwardsiella ictaluri,Gram negative,cell wall,OmpLC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hossain et al. 2012,10.1099/mic.0.054866-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP180729.1,NZ_CP180729.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F389,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Prado,True,short,Podoviridae,Xylella fastidiosa,2371,Xylella fastidiosa,Gram negative,pili,PilA,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Ahern et al. 2014,10.1128/JB.01080-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/MN590488.1,MN590488.1,specific gene,PilA,True,https://www.uniprot.org/uniprotkb/V5Q7S0,V5Q7S0,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
φR1-37,True,contractile,Myoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,outer core hexasaccharide of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Kiljunen et al. 2005,10.1099/mic.0.28265-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φNJS1,True,long non-contractile,Siphoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,"O antigen of LPS (reversible binding), FepA (irreversible binding)",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hao et al. 2021,10.1016/j.micpath.2021.104897, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/AJ292298.1,AJ292298.1,specific gene,FepA,True,https://www.uniprot.org/uniprotkb/A0A345ARD4,A0A345ARD4,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,high,high
S108,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SA97,True,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Chang et al. 2015,10.3390/v7102870, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A0F6N3G7,A0A0F6N3G7,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
Gifsy-1,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Ho and Slauch 2001,10.1128/JB.183.4.1495–1498.2001, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/KY421795.1,KY421795.1,specific gene,OmpC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
SSU5,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,outer core oligosaccharides of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Kim et al. 2014,10.1128/AEM.03494-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
DLP2,True,long non-contractile,Siphoviridae,Stenotrophomonas maltophilia,40324,Stenotrophomonas maltophilia,Gram negative,pilus,type IV pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,McCutcheon et al. 2018,10.3390/v10060338, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP031058.1,NZ_CP031058.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
TuII*,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein II* (OmpA) with LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Datta et al. 1977,10.1128/jb.131.3.821-829.1977, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,none
U3,False,"none (icosahedral, ssDNA)",Microviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Terminal galactose residue in LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Picken and Beacham 1977,10.1099/00221287-102-2-305, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F386,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
P113g,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q71AV2,Q71AV2,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
ϕLC3,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides subtype C2,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Ainsworth et al. 2014,10.1128/mBio.00880-14, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
N3,True,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,outer membrane porin RopA1,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φAcM2,True,long non-contractile,Siphoviridae,Asticcacaulis biprosthecium,76891,Asticcacaulis biprosthecium,Gram negative,pili,pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Pate et al. 1979,10.1016/0042-6822(79)90435-5, ,True,False,,,none,,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,none,none
T6,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Outer membrane protein Tsx (involved in nucleoside uptake),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Manning and Reeves 1976; Manning and Reeves 1978,"10.1128/jb.127.3.1070-1079.1976 (Manning and Reeves 1976), 10.1007/bf00267199 (Maning and Reeves 1978)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A346FJX9,A0A346FJX9,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
SPN8TCW,True,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Weirdo19ES,True,long non-contractile,Siphoviridae,Mycobacterium smegmatis,1772,Mycolicibacterium smegmatis,Acid fast,cell wall,glycopeptidolipids,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Suarez et al. 2020,10.1371/journal.pone.0231881, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP027541.1,NZ_CP027541.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
PRR1,False,"none (icosahedral, ssRNA)",Leviviridae,"Escherichia coli, Pseudomonas aeruginosa",562,Escherichia coli,Gram negative,pili,R pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley 1974,10.1016/0006-291x(74)90630-5, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
φNP,True,contractile,Myoviridae,Citrobacter rodentium,67825,Citrobacter rodentium,Gram negative,cell wall,LPS GlcII residue,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Magaziner et al. 2019,10.1128/JB.00638-18, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP038008.1,NZ_CP038008.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
B1 (alternate family),True,long non-contractile,Siphoviridae,Lactobacillus plantarum,1590,Lactiplantibacillus plantarum,Gram positive,cell wall,Galactose component of the wall polysaccharide,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Douglas and Wolin 1971,10.1021/bi00785a007, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP185953.1,NZ_CP185953.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
φMAM1,True,contractile,Myoviridae,Serratia plymuthica,82996,Serratia plymuthica,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Matilla and Salmond 2014,10.1128/AEM.01546-14, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ405148.1,NZ_OZ405148.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/K7YGQ9,K7YGQ9,specific RBP,Putative tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
PO4,True,long non-contractile,Siphoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,pili,pilus,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley 1973,10.1016/0042-6822(73)90448-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
IME281,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpF,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Li et al. 2019,10.3389/fmicb.2019.00850, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/GQ465827.1,GQ465827.1,specific gene,OmpF,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
FC3-1,True,contractile,Myoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,lipopolysaccharide,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Tomas and Jofre 1985,10.1128/jb.162.3.1276-1279.1985, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SPN6TCW,True,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
M,False,"none (icosahedral, ssRNA)",Leviviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,M pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Coetzee et al. 1983,10.1099/00221287-129-7-2271, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A6S6ML91,A0A6S6ML91,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence UniProt assignment | ambiguous phage name across organisms,high,medium,low
